"Date","specimen","timepoint_mo","Condition","CD45_count","Tcells_count","Vd2_pos","Vd2_neg","Va7.2_pos","Va7.2_neg","CD4_pos","CD8_pos"
"2025-08-05","INF0180",4,"Ctrl",351222,129092,0.01,0.99,0.01,0.97,0.52,0.37
"2025-08-05","INF0019",0,"PPD",834677,216135,0.01,0.99,0.01,0.98,0.74,0.22
"2025-08-05","INF0019",4,"PPD",841834,270713,0,1,0.01,0.98,0.66,0.29
"2025-08-05","INF0019",9,"PPD",1071855,624909,0,1,0.02,0.98,0.7,0.26
"2025-08-05","INF0032",0,"PPD",839233,393929,0.01,0.99,0.01,0.98,0.72,0.23
"2025-08-05","INF0032",4,"PPD",484001,176652,0.01,0.99,0.01,0.97,0.68,0.22
"2025-08-05","INF0032",9,"PPD",912641,463605,0.02,0.98,0.02,0.96,0.71,0.22
"2025-08-05","INF0180",0,"PPD",1007435,291504,0,1,0.02,0.98,0.66,0.3
"2025-08-05","INF0180",4,"PPD",415352,155999,0.01,0.99,0.01,0.97,0.52,0.38
"2025-08-05","INF0180",9,"PPD",648628,174611,0.02,0.98,0.02,0.97,0.3,0.59
"2025-08-05","INF0019",0,"SEB",900030,226668,0.01,0.99,0.01,0.98,0.7,0.23
"2025-08-05","INF0019",4,"SEB",726812,254381,0,1,0.01,0.99,0.63,0.32
"2025-08-05","INF0019",9,"SEB",1065400,611507,0,1,0.01,0.99,0.69,0.27
"2025-08-05","INF0032",0,"SEB",694403,333941,0.01,0.99,0.01,0.98,0.69,0.25
"2025-08-05","INF0032",9,"SEB",804398,416016,0.02,0.98,0.01,0.97,0.71,0.22
"2025-08-05","INF0180",0,"SEB",1092013,307489,0,1,0.01,0.99,0.61,0.31
"2025-08-07","INF0155",0,"Ctrl",1065048,281626,0.01,0.99,0.01,0.98,0.7,0.23
"2025-08-07","INF0155",4,"Ctrl",811417,412580,0,1,0.01,0.99,0.72,0.22
"2025-08-07","INF0155",9,"Ctrl",747029,228822,0.01,0.99,0.01,0.98,0.5,0.4
"2025-08-07","INF0158",0,"Ctrl",1249338,280913,0,1,0.02,0.97,0.59,0.36
"2025-08-07","INF0158",4,"Ctrl",714462,79380,0.01,0.99,0.02,0.97,0.57,0.37
"2025-08-07","INF0158",9,"Ctrl",810976,199112,0.01,0.99,0.02,0.97,0.51,0.43
"2025-08-07","INF0159",0,"Ctrl",1190219,452551,0.01,0.99,0.02,0.97,0.72,0.22
"2025-08-07","INF0159",4,"Ctrl",1003414,275733,0.01,0.99,0.02,0.96,0.49,0.39
"2025-08-07","INF0159",9,"Ctrl",697474,487443,0,1,0.03,0.97,0.63,0.33
"2025-08-07","INF0155",0,"PPD",1262810,412907,0.01,0.99,0.01,0.98,0.69,0.23
"2025-08-07","INF0155",4,"PPD",935619,473057,0,1,0.01,0.99,0.72,0.23
"2025-08-07","INF0155",9,"PPD",839902,273995,0.01,0.99,0.01,0.98,0.5,0.41
"2025-08-07","INF0158",0,"PPD",1203885,300921,0,1,0.02,0.97,0.6,0.35
"2025-08-07","INF0158",4,"PPD",853125,92726,0.01,0.99,0.01,0.97,0.56,0.38
"2025-08-07","INF0158",9,"PPD",954296,257109,0.01,0.99,0.02,0.97,0.51,0.43
"2025-08-07","INF0159",0,"PPD",1112879,435293,0,1,0.02,0.97,0.72,0.22
"2025-08-07","INF0159",4,"PPD",998207,277402,0.01,0.99,0.02,0.96,0.48,0.4
"2025-08-07","INF0159",9,"PPD",655255,473302,0,1,0.03,0.97,0.63,0.33
"2025-08-07","INF0155",0,"SEB",1332783,413420,0.01,0.99,0.01,0.98,0.68,0.23
"2025-08-07","INF0155",4,"SEB",691118,332018,0,1,0.01,0.99,0.7,0.24
"2025-08-07","INF0158",0,"SEB",1275881,276075,0,1,0.01,0.98,0.59,0.36
"2025-08-07","INF0158",4,"SEB",699492,77862,0.01,0.99,0.01,0.98,0.54,0.41
"2025-08-07","INF0158",9,"SEB",788745,203043,0.01,0.99,0.01,0.98,0.5,0.44
"2025-08-07","INF0159",0,"SEB",1233616,449101,0,1,0.01,0.98,0.71,0.23
"2025-08-07","INF0159",4,"SEB",980926,277396,0.01,0.99,0.02,0.97,0.47,0.42
"2025-08-07","INF0159",9,"SEB",325961,208960,0,1,0.02,0.98,0.61,0.35
